Město,Kraj,Celkové hodnocení - calculated,Zdraví a životní prostředí,Materiální zabezpečení a vzdělání,Vztahy a služby,Index praktických lékařů,Index dětských lékařů,Index dojezdu do nemocnice,Index lékáren,Index průměrné délky života,Index znečištění ovzduší,Index znečišťovatelů,Index chráněných území,Index nezaměstnanosti,Index nabídky pracovních míst,Index finanční dostupnosti bydlení,Index hmotné nouze,Index exekucí,Index kapacity mateřských škol,Index kapacity základních škol,Index kvalitních středních škol,Index marketů,Index bankomatů,Index restaurací,Index kin,Index digitalizace,Index silniční sítě,Index železniční dopravy,Index sounáležitosti,Index zájmu o obecní a krajské volby,Index bezpečnosti,Index hazardu,Index stěhování mladých,Index přírůstku obyvatelstva
Boskovice,Jihomoravský kraj,6.3,7.1,3.1,8.6,5,6.7,9.3,5.7,5.2,5.5,5.3,0.6,4.7,1.6,2,8.5,8.6,6,4.4,2.3,1.5,4.4,3.3,5.4,3.7,3.6,0.3,4.4,6.6,7.4,10,10,9.5
Mohelnice,Olomoucký kraj,5.9,5.9,2.7,9,4.9,6.3,4.3,5.6,5.4,3.8,5,1.3,3.4,1.9,2.3,7.5,8.4,3.9,6.4,2.8,6.1,5.2,3.4,3.7,7.8,8,1.3,2.7,4.9,6.8,8.8,9.8,9.3
Kuřim,Jihomoravský kraj,8.2,9.5,7.5,7.7,5,5.6,6.9,6.8,10,4.9,5.3,0.7,7.1,8.6,0.8,8.5,8.7,4.8,2.1,3.6,5,6.2,7.7,2.8,6.9,3.9,0.9,1.9,7.2,7.1,6.2,9.7,10
Mladá Boleslav,Středočeský kraj,6.9,6,7.3,7.3,3.1,4.9,9.5,2.3,5.8,4.3,5.2,3.1,7.6,9.1,2.5,8.7,6.4,2.7,1.3,2.2,1.2,4.3,3,5.9,3.5,6.2,3,1,3.6,3.2,5.6,9.6,9.2
Hořovice,Středočeský kraj,7.0,8.7,6.5,5.8,5.6,7.4,9.4,6.8,6,5.2,6.1,5.3,7.5,7.7,1.7,8.3,7.7,1,2,4.5,3.1,3,5.8,1.4,1,4.7,1.3,3.2,4.8,4.6,4.7,9.3,9.5
Jihlava,Kraj Vysočina,5.8,7.3,3.6,6.4,4,3.5,9.1,2.2,7.1,6.4,5.7,1,7.3,2.8,2.4,8.2,6.8,3.4,3.1,2.8,1.8,1.1,4.7,6.3,4.1,7.3,2.7,4.4,5.7,2.9,10,9,8
Praha,Hlavní město Praha,8.5,9.3,6.7,9.5,6.5,8.1,9.5,6.6,8.7,4.6,2.8,3.1,7.4,7.1,0.7,8.6,7.3,3.7,2,6.6,4.8,8.3,10,10,4.5,0,10,6,6.7,2.2,9.8,8.9,7.5
Beroun,Středočeský kraj,6.3,7.1,4.3,7.5,4.6,9.2,5.5,5,6.3,4.4,3.5,4.6,6.1,4.3,1.5,8.5,7.2,2.8,1.2,5.1,4.2,7.4,7.7,4.7,3.3,5.8,3.4,3.3,4.2,3.5,8,8.9,8
Mnichovo Hradiště,Středočeský kraj,7.1,6.1,8.2,7,2.8,4.8,6.8,2.2,6,4.8,6.4,3.1,7.6,8.4,2.6,9.7,8,0.3,1,8.1,1.7,4.4,7.1,3.2,1.8,6.1,0.4,3.2,3.4,8,10,8.5,7.8
Slavkov u Brna,Jihomoravský kraj,8.0,8.7,6.4,9,6.7,10,5.7,10,6.5,4.2,5,0.6,7.5,6.5,1.1,9.2,8.8,4,1.9,3.8,5.4,7.6,9.2,1.7,1.6,9.2,0.6,3.7,6.8,8.9,5.9,8.2,8.1
Brno,Jihomoravský kraj,6.9,8.2,4.2,8.3,5.4,6.7,9.7,7.1,7.2,4.1,4.9,1,4,5.4,0.5,7.3,6.5,4.1,2,5.2,4.8,6.2,9.1,3,5.3,5.8,7.9,6.4,4.6,3.2,9.9,8.1,6.7
Neratovice,Středočeský kraj,5.8,6.6,4.1,6.7,4.8,7.2,9.4,6.1,5.9,3.9,2.7,1.5,5.5,5.9,2,2.5,4.9,2.5,0.2,7.3,5.1,7.2,7.3,5.1,3.3,2.8,2.8,0.6,1.8,7.2,7.4,8.1,7.4
Kolín,Středočeský kraj,5.4,5.2,3,7.9,2.5,5.8,9.4,3,5.5,4.4,3,0.3,5.5,4,2.3,6.5,5.7,3.1,1,2.2,2,4.6,2.2,1.8,4,6,6.8,2.6,3.6,4.8,10,8,6.9
Plzeň,Plzeňský kraj,5.6,7,3.5,6.4,2.6,5,8.8,2.9,7.3,5.2,5.1,1.9,7.8,3.2,1.5,8.3,5.7,4.4,1.8,2.7,1.2,3.2,4.3,7.2,2.4,4,7.3,5.1,3.9,3.5,7.4,8,8.2
Rosice,Jihomoravský kraj,7.3,6.5,6.3,9,4.2,7.7,7.1,4.6,5.4,5.1,5,0.6,7.7,5.9,1.6,9.7,8.8,3.7,2.2,3.8,5.5,7.8,7.5,4.7,5.1,7.8,0.7,3.1,6,9,4.6,7.8,7
Nymburk,Středočeský kraj,6.2,5.4,6.3,6.9,5,5.7,9.8,4,3.9,4,5.8,0.3,5,8.8,1.6,6.2,7,2.8,2.4,3.4,3.4,5,3.7,1.3,5.7,5.8,4.3,2.6,5.5,4.5,7.4,7.8,7.3
Kralupy nad Vltavou,Středočeský kraj,7.1,6.1,6.9,8.3,7.8,7.3,5.1,6.2,5,3.9,2.7,1.7,5.5,7.4,2,6.4,6.5,3,0.8,10,4.7,7.7,8.3,5.5,6.6,5.6,4.9,2.4,3.2,6.8,6.6,7.7,8
Kladno,Středočeský kraj,4.9,5.6,4.3,4.9,4.2,6.2,9,3.3,4.8,4.6,3.2,3.5,4.9,6.4,1.9,4.9,4.5,3.1,2.4,4.1,2.6,4.3,3.8,2.2,5.8,4.6,4.8,1.8,2.2,1.7,6.5,7.7,7.3
Havlíčkův Brod,Kraj Vysočina,6.0,8.8,4.5,4.8,4.9,5.6,9.5,4.6,7.6,6.1,5.5,3.8,8.6,1.9,3,9.3,8.3,5.1,4.1,2.6,3.3,3.6,4,1.1,3.6,6,3,2.7,5.3,4.4,8.3,7.7,6
Slaný,Středočeský kraj,7.0,5.4,6.8,8.7,5.8,7.5,9.3,6,3,4.6,2.4,3.2,5.1,8.1,2.1,7.2,5.9,3.1,1.7,7.1,3.9,7.3,5.3,3.6,2.9,9.3,0.8,3.7,4,6.9,8.2,7.6,8
Olomouc,Olomoucký kraj,6.0,6.9,3.6,7.4,4.4,6.8,8.6,4.8,6.5,3.2,5.7,1,6,3.2,1.2,7.2,6.4,5.7,2.7,4.1,3.3,3.9,7.2,8.3,5,5.4,6.9,5.5,4.2,2.5,6.8,7.4,7.1
Kostelec nad Orlicí,Královéhradecký kraj,5.3,5.7,3.8,6.4,2.6,4.9,6.8,3,6,4.6,4.9,2.1,8.9,2.1,3.7,7.3,7.2,4,3.7,1.1,4.2,1,3.5,2,4,5.3,0.9,3.6,5.7,8.8,8.4,7.4,8
Pacov,Kraj Vysočina,7.0,7.7,6.4,6.8,5.9,5.8,4.1,3.8,6,7.7,6.9,0.2,9.4,4,6.3,9,8.8,1.7,6.6,0.4,6,2.5,2,0.1,0.6,6.7,0.1,7.6,5.3,8.8,10,7.3,5.3
Říčany,Středočeský kraj,9.0,10,10,7,6.2,9.1,9.5,8.3,8,6,4.2,0.4,10,10,0.7,10,9.3,3,1.3,8.4,4.6,10,7.4,5.4,3.8,1.9,1.4,3.8,8.5,3.7,10,7.3,7.9
Brandýs nad Labem-Stará Boleslav,Středočeský kraj,8.1,8.6,7.8,7.8,6.8,8.5,9.7,7.7,7.4,4,3.1,0.9,9.7,7.5,0.9,9.7,7.7,3.3,0.8,7.3,6.3,9,6.4,4.1,5.7,5.1,2,2.6,5.4,5.6,7.5,7.1,8
Vysoké Mýto,Pardubický kraj,6.8,6.8,6.6,6.9,5.9,5.5,5.5,2.7,7,5,4.4,2.6,7.5,6.7,2.9,7.5,7.1,4.8,2.2,3,3.4,2.4,1.9,1,1.1,6.8,0.9,4.3,4.5,8.2,10,7,8
Černošice,Středočeský kraj,6.9,7.9,5.3,7.4,3.4,6.5,5.1,5.9,8.6,4.8,3.7,2,9.5,4.8,0,9.9,10,2.9,0.9,3.9,3.9,6.4,8.5,3.6,2.4,2.4,2.2,5.2,10,8.5,10,6.9,6.6
Vyškov,Jihomoravský kraj,7.6,8.6,4.2,10,6.4,8.2,9.1,8.9,5.9,5.4,5,0.6,7.2,2.9,2.4,7.8,7.7,4.4,4.1,3.7,7.3,9.1,6.7,4.8,6,8.9,1.7,4.2,4.6,7.5,7,6.8,7.1
Nýřany,Plzeňský kraj,5.1,6.5,4.9,3.8,5.7,6,6.5,3.4,5.8,5.6,5.1,0,7.4,4.7,3.8,7.9,5.9,3.6,2.8,1.8,2.9,3.6,1.7,1.4,3.9,7.4,0.9,0,1.6,5.9,2.9,6.8,6.5
Písek,Jihočeský kraj,5.5,7.3,3.3,5.9,3.5,3.8,9.4,1.2,6.8,6.7,7.2,0.1,6.8,3.1,2.4,4.7,6.6,5.9,3.7,1.6,1.4,2.2,2.8,2,5,5.8,2.7,6.6,4.2,7.3,10,6.8,6.5
Zlín,Zlínský kraj,5.4,7.2,3.9,5.1,3.9,4,9.4,4.2,7.8,3.9,3.5,4.5,7.7,2.9,1.8,9.2,8.3,3.4,3.1,2.3,1.2,2.1,4.3,5,3.3,2.1,5.7,4.8,5.7,6,7.3,6.8,6.8
Polička,Pardubický kraj,6.5,6.3,8.1,5.2,2.6,5.2,5.8,4.3,5,6.8,5.3,3.4,8,4.8,5.9,9.3,9.3,6.4,5.3,3.1,5.3,0.6,3.3,0,7.6,5.7,0.2,5.1,7.2,7.8,4.2,6.7,8.1
Třeboň,Jihočeský kraj,6.7,8.5,3.6,8.1,5.6,9.8,3.8,5.2,5.7,7.2,6.8,3.9,7.6,1.2,1.5,9.4,9,4.2,5.3,4.1,3.3,6.2,8.5,6.8,1.4,5.7,1,9.3,7.6,6.2,10,6.4,5.8
Hradec Králové,Královéhradecký kraj,6.2,7.8,3.8,6.9,3.9,5.1,9.7,5.7,9.2,3.9,2.4,0.3,7.2,3.6,1.4,8.5,7.8,3.1,2.6,2.7,2.4,4.2,6.1,7.2,4.9,6.8,5.7,3.7,5.4,4.6,7.5,6.4,6.5
Teplice,Ústecký kraj,3.4,3.8,2.3,4.2,3.3,5,9.1,4.6,2.1,3.5,2.3,8,3.6,2.6,5,5.8,2.3,3.4,4.4,2,2.9,4.6,3.1,6.8,4.6,5.6,4.3,3.3,1.1,3.8,2.7,6.4,5.4
Pardubice,Pardubický kraj,5.6,6.4,4,6.4,4,4.3,8.8,4.5,7.4,4,2.3,1.9,7,5,1.3,7.8,6.2,2.7,0.4,3,2.2,2.8,4.7,7.3,4.7,4.6,7.4,6.4,4.4,6.1,7.4,6.3,5.5
Turnov,Liberecký kraj,6.7,9.1,4.7,6.3,6.7,8.5,9.5,4.1,7.4,4.8,6.5,3.8,7,4.6,2.3,8.9,7.8,2.3,0.7,4,2.7,6.2,7.8,3.9,4.6,5.8,2.1,3.4,5.7,5.6,8.9,6.3,6.7
Votice,Středočeský kraj,5.9,6.3,4.2,7.1,2.6,6.5,5.8,4.1,4.1,7.6,6.8,0.2,8.5,3.8,4.1,8.9,7,0,3.7,0.9,2.4,2.6,1.8,0.1,2.3,7.5,0.4,2.4,4.6,9.2,5.5,6.3,8.7
Stod,Plzeňský kraj,4.9,6.5,5,3.1,4.9,8.8,9.5,2.9,4.4,6,5,0,9.6,3.7,4.5,8.8,7.1,3.4,0.4,1.4,1.1,3,1.6,1.4,4.2,6.3,0.3,2.3,2.8,5.8,1.5,6.3,6.6
Holešov,Zlínský kraj,5.1,6.1,3.9,5.3,4.3,6.2,5.1,6.7,6,3.9,3.6,0.7,8.5,1.8,3.9,7.8,7.5,4,4.9,1.4,3,2.8,3.9,0.5,3.6,6,1.1,5.5,5.8,8.2,7.3,6.3,6.7
Poděbrady,Středočeský kraj,5.6,6,3.3,7.6,4.1,6.3,7.1,5.7,6.2,3.9,2.9,0.3,4.5,3.8,1,8.3,8.2,2.9,2,3.2,3.4,6.1,5.2,2.1,6,8.7,3.2,5.1,7.7,4.8,6.3,6.2,6.6
Blatná,Jihočeský kraj,5.2,6.6,4,5.1,6.8,6.2,4.2,4,4.1,7.2,6.1,1.5,7.7,0.6,5.1,9.4,8.5,4.8,6.7,0.4,2.1,4.8,2,0.8,3.5,5.8,0.5,2.5,5.7,7.2,10,6.2,5.7
Český Brod,Středočeský kraj,5.3,5,5.1,5.7,4.3,3.3,4.3,6.1,4.2,5,5.3,0.2,6.1,5.7,2.2,7.2,6.9,2.9,0,5,4,4.2,3.7,1.1,1.7,2.4,1.5,1.9,4.7,8.1,10,6.1,7.4
Přeštice,Plzeňský kraj,5.7,7.8,4.2,5,7.1,6.1,6.2,5.6,6.2,6.1,5.1,0.7,8.5,3.5,2.8,8.6,7.8,2.4,2.1,1.8,1.6,3.9,3.4,3.2,6.1,7.3,1.3,2.8,4.8,5.9,10,6.1,5.2
Nepomuk,Plzeňský kraj,6.3,7.4,5,6.5,3.9,7.7,3.2,5.4,5.1,7.2,7.6,1.3,6.9,3.1,5.3,8.7,8,5,3.3,0.4,2.9,6.3,1.3,0.6,2.9,6.1,1,5.6,5.8,7,10,6.1,7.7
České Budějovice,Jihočeský kraj,5.7,7.8,3.1,6.2,2.6,4.5,9,2.8,6.7,6.5,6.8,5.3,7.5,2.1,1.6,8.8,6.7,4.3,2,3,2.2,3.5,5,7.9,6.2,3,6,7.5,4.5,4,10,6.1,5.3
Pohořelice,Jihomoravský kraj,7.6,7,7.8,8.1,5.7,7.7,4.7,8.8,5.2,4.5,4.7,0.9,6.2,9.9,1.4,9.2,8.2,2.2,1.3,3.7,4.4,6.9,4.7,1.6,3.9,9.3,0,2.5,8.2,5.4,10,6,7.4
Blovice,Plzeňský kraj,6.0,6,7.3,4.8,3.6,7.3,4.1,5.1,4,7.1,5.2,1.5,8.5,5.7,4.2,8.7,8.2,1.7,1.6,7.4,0.3,1.9,2.4,0.6,4.7,5.6,0.4,4.6,7.3,9.8,10,5.9,6.1
Rokycany,Plzeňský kraj,5.2,7.8,3.8,3.9,5.5,6.9,9,4.5,6.3,5.6,5,3.1,6.2,3.3,3.2,6.2,4.3,3.6,4,5.2,2.9,5.5,4.2,1.4,1.8,6.4,2.5,5.5,3.9,1.7,10,5.9,5.5
Liberec,Liberecký kraj,4.9,6.6,2.7,5.4,2.5,3.7,9.7,1.6,6.3,6.6,3.9,5.5,5.8,3,1.8,7.6,5,4.1,1.5,2.9,1.6,2.8,4.8,7,4.3,4.4,6.3,6.5,4.7,1.9,8.1,5.9,5.8
Uherské Hradiště,Zlínský kraj,4.6,6.5,3.8,3.5,3.8,5.7,9.2,5.8,6.1,3.1,3.8,4,6.6,2.3,2.1,8.8,8.1,5.8,4.8,1.6,2.3,4.3,5.7,0.1,2.9,3.2,2.2,5.7,5.3,5.7,8.4,5.9,5.2
Chrudim,Pardubický kraj,5.4,5.9,5.1,5.3,3.8,5,9.3,5,5.6,4.6,2.4,2.9,7.1,5,1.8,7.3,7.8,4.3,3.7,2.8,3.6,3.9,4.2,1.5,4,5.2,1.6,6.4,5.4,7.2,8.5,5.8,6.7
Mikulov,Jihomoravský kraj,4.7,5.9,3.1,5,3.8,3.9,4,5.5,5.1,5.5,6,1.3,3.6,4.7,2.9,6.8,6,1.2,5,0.7,6.9,2.8,8.8,1.6,4.5,7.8,0.3,8.8,5.4,5.1,0,5.8,4
Karlovy Vary,Karlovarský kraj,4.7,6.8,2.8,4.5,2.7,5.2,9.2,2.8,4.9,7.4,5,4.9,4.4,2.5,3.8,5.8,4.2,5.4,5,1.8,2.4,6,3.9,7.5,4.1,5.7,4.2,8.2,2.7,0,6.1,5.8,4.4
Lipník nad Bečvou,Olomoucký kraj,5.2,6.6,4.2,4.7,2.7,5.4,6.3,7.8,6.2,3.5,5.5,0.8,5.1,2.1,4.7,4.5,5.7,7.6,7.1,4.1,6.2,2.8,5.5,1.6,2.4,6.2,0.8,3.8,3.6,5.8,8.8,5.8,5.5
Jablunkov,Moravskoslezský kraj,4.3,5.4,3.7,3.7,3.4,5.7,6,7.9,3.9,3.2,3.7,7.1,7,0.6,4.1,9.2,9.1,5.6,4.9,0.9,5.1,2,8.2,0.9,0.9,2.6,0,1.4,3.7,8,10,5.7,5.6
Uničov,Olomoucký kraj,4.6,5.1,4.3,4.4,3.8,3.4,5.6,3.9,5.5,2.9,6,2.3,5.8,3.4,3.1,6.8,6.3,4.2,5.1,4.3,2.8,6.2,3,1.9,6,4.3,1.3,2,3.4,5.6,6.4,5.6,7.2
Humpolec,Kraj Vysočina,5.3,6.8,3.7,5.3,4.2,2.9,6,3.2,6.4,6.9,6.2,0.2,6.8,3,3,9.3,8.2,2.6,2.9,0.9,4,1.7,4.5,1.7,3.5,8.9,0.3,3.4,6,6.8,6.5,5.6,6.9
Šternberk,Olomoucký kraj,5.0,7.1,4,3.9,6,6.2,9.4,6,4.3,5.2,6.5,2.3,4.7,1.8,3.3,7.6,6.9,5.9,5.5,5.2,2.2,4.3,2.8,1.6,2.8,3.5,0.8,2.2,3.2,7.7,8.9,5.6,5.2
Rakovník,Středočeský kraj,5.5,6.1,6.1,4.2,3,4.1,9.4,5.2,4.3,5.8,5,3.4,6.8,6.5,2.6,8.7,6.5,4.1,4,2.1,2.2,5.2,5.8,1.3,2.4,4,2.4,3.9,3.2,5.2,10,5.5,4.9
Holice,Pardubický kraj,5.8,6.1,4.7,6.7,3.9,6.1,4.9,6.6,5.7,4.6,3.9,0.7,9.3,3.6,2.5,7.2,8.2,4.7,2.7,2.1,6.5,5.4,3.2,1.4,4.4,8.7,0.3,5,4.8,7.1,10,5.5,5.4
Prostějov,Olomoucký kraj,4.7,6.1,3.5,4.5,5.3,6,8.9,4.4,4.9,3.5,6.2,1.1,6.8,2.5,3.4,6,6.5,4.3,3.9,3.1,2.2,2.9,5.4,3.1,4.7,7,2.6,4,3.4,5.2,7.1,5.5,4.9
Aš,Karlovarský kraj,2.9,2.6,3.6,2.5,2.3,1.8,3.5,1.9,0,9,4.5,5.1,6.6,1.6,8.9,5.2,1.1,5.9,4.5,0.2,8.3,1.9,6.4,0,3.6,7.1,0.7,2,0.2,4.9,1,5.5,4
Trutnov,Královéhradecký kraj,3.9,5.8,3.2,2.7,1.5,3.4,9.5,3,4.4,6.1,5.7,5.7,5,0.9,4.2,7.7,5.9,6.9,6,2,1,2.9,2,0.1,4.8,1.7,4.3,1.7,3.9,5.4,7.9,5.5,5.8
Trhové Sviny,Jihočeský kraj,4.8,5.8,2.6,6,1.9,5.7,3.9,3.4,3.4,7.5,7.6,4.5,7.5,0.3,3,9.6,8.5,3.7,3.2,1.4,2,2.5,1.2,3.1,0.8,4.5,0,7.7,7.7,8.7,10,5.5,4.7
